"User_ID sorted by SD","Ensembl_gene_id","symbol","cng_1","cng_2","cng_3","cng_4","wt_1","wt_2","wt_3","treatment30_1","treatment30_2","treatment30_3","treatment30_4"
" ENSMUSG00000037499","ENSMUSG00000037499","  Nenf",309,382,224,346,266,274,253,441,545,377,354
" ENSMUSG00000063531","ENSMUSG00000063531","  Sema3e",1487,1742,1120,1617,1873,1772,1502,1028,2270,1550,2389
" ENSMUSG00000097464","ENSMUSG00000097464","  Gm26736",0,8,5,9,4,17,4,8,8,3,6
" ENSMUSG00000022420","ENSMUSG00000022420","  Dnal4",747,671,420,581,497,494,441,684,959,768,693
" ENSMUSG00000033365","ENSMUSG00000033365","  Ipo13",3000,3170,1748,2254,1891,2152,1965,2717,3889,3052,2955
" ENSMUSG00000105203","ENSMUSG00000105203","  4933428P19Rik",459,469,294,358,297,344,313,367,578,620,465
" ENSMUSG00000029569","ENSMUSG00000029569","  Tmem168",587,623,350,430,380,344,300,485,623,525,550
" ENSMUSG00000063455","ENSMUSG00000063455","  D630045J12Rik",1672,1665,918,1248,1121,1133,1263,1499,2309,1658,1603
" ENSMUSG00000094786","ENSMUSG00000094786","  Gm14403",36,22,43,52,40,24,29,23,50,51,29
" ENSMUSG00000066324","ENSMUSG00000066324","  Impad1",1719,1775,976,1060,1258,1157,1161,1334,2076,1764,1787
" ENSMUSG00000061601","ENSMUSG00000061601","  Pclo",19670,15530,10209,12145,11721,14975,15031,18116,22441,21532,17343
" ENSMUSG00000108753","ENSMUSG00000108753","  Gm45094",20,25,15,23,14,27,35,22,42,13,19
" ENSMUSG00000052906","ENSMUSG00000052906","  Ubxn8",528,513,263,360,303,403,352,468,630,499,432
" ENSMUSG00000079104","ENSMUSG00000079104","  Prps1l3",501,677,323,445,384,349,340,485,675,562,489
" ENSMUSG00000028179","ENSMUSG00000028179","  Cth",121,154,128,117,60,136,103,123,165,139,90
" ENSMUSG00000032193","ENSMUSG00000032193","  Ldlr",526,325,240,356,208,348,437,398,396,374,405
" ENSMUSG00000021629","ENSMUSG00000021629","  Slc30a5",1179,1047,695,946,829,757,695,1145,1528,1212,1147
" ENSMUSG00000104823","ENSMUSG00000104823","  Gm43182",4,9,0,4,8,11,0,3,10,5,6
" ENSMUSG00000093803","ENSMUSG00000093803","  Ppp2r3d",3127,2285,1478,1772,1947,2392,2278,2932,3385,2777,2840
" ENSMUSG00000115326","ENSMUSG00000115326","  Gm35019",0,8,2,6,0,2,10,0,1,1,0
" ENSMUSG00000033917","ENSMUSG00000033917","  Gde1",1369,1270,673,974,1037,1084,1414,1380,1732,1480,1299
" ENSMUSG00000062075","ENSMUSG00000062075","  Lmnb2",778,763,460,684,501,550,472,884,1010,670,674
" ENSMUSG00000021792","ENSMUSG00000021792","  Fam213a",935,927,461,637,658,572,638,808,1121,873,687
" ENSMUSG00000035478","ENSMUSG00000035478","  Mbd3",1624,1621,902,1083,1026,1112,1172,1421,2060,1719,1466
" ENSMUSG00000038650","ENSMUSG00000038650","  Rnh1",1297,1170,669,980,730,838,788,1225,1475,1161,1082
" ENSMUSG00000084803","ENSMUSG00000084803","  5830444B04Rik",39,19,13,16,16,26,38,23,27,33,27
" ENSMUSG00000118049","ENSMUSG00000118049","  ",128,63,57,69,62,54,90,81,102,96,56
" ENSMUSG00000024142","ENSMUSG00000024142","  Mlst8",1277,1408,710,1068,883,869,724,1252,1520,1159,1096
" ENSMUSG00000091881","ENSMUSG00000091881","  Gm17146",3,11,5,5,10,0,6,7,8,14,12
" ENSMUSG00000038271","ENSMUSG00000038271","  Iffo1",2358,1682,998,1628,1553,1774,1689,2308,2545,1949,1952
" ENSMUSG00000029176","ENSMUSG00000029176","  Anapc4",1487,1281,742,1188,1053,978,966,1498,1800,1365,1485
" ENSMUSG00000042104","ENSMUSG00000042104","  Uggt2",1112,783,502,736,737,795,620,1091,1117,936,987
" ENSMUSG00000085680","ENSMUSG00000085680","  Gm13327",115,84,63,74,41,49,78,61,89,89,79
" ENSMUSG00000113003","ENSMUSG00000113003","  Gm47138",22,33,25,35,21,26,39,11,34,40,32
" ENSMUSG00000019843","ENSMUSG00000019843","  Fyn",2367,2111,1251,1821,1504,1774,1575,2344,2934,2456,2363
" ENSMUSG00000004054","ENSMUSG00000004054","  Map3k11",910,686,414,685,544,755,860,792,1079,799,800
" ENSMUSG00000018565","ENSMUSG00000018565","  Elp5",853,883,436,609,588,670,721,741,1175,855,758
" ENSMUSG00000102725","ENSMUSG00000102725","  Gm37939",172,196,93,143,185,191,190,206,247,238,148
" ENSMUSG00000114139","ENSMUSG00000114139","  Gm20336",8,3,0,1,0,13,4,4,7,3,5
" ENSMUSG00000037887","ENSMUSG00000037887","  Dusp8",9999,6910,4970,6516,7731,10083,11808,7106,10540,9177,7888
" ENSMUSG00000029404","ENSMUSG00000029404","  Arl6ip4",598,457,278,422,375,399,408,644,602,582,555
" ENSMUSG00000102657","ENSMUSG00000102657","  Gm37899",13,12,18,20,20,27,40,13,25,30,21
" ENSMUSG00000097055","ENSMUSG00000097055","  Gm4419",348,448,271,288,332,366,408,403,681,495,456
" ENSMUSG00000102474","ENSMUSG00000102474","  2610012C04Rik",5,0,0,1,2,2,13,1,7,5,4
" ENSMUSG00000031660","ENSMUSG00000031660","  Brd7",1657,1485,890,1215,1156,1065,798,1422,1797,1429,1519
" ENSMUSG00000070287","ENSMUSG00000070287","  Slc35g2",259,283,183,236,232,313,251,359,486,349,307
" ENSMUSG00000058407","ENSMUSG00000058407","  Txndc9",713,778,387,526,503,560,409,647,848,708,710
" ENSMUSG00000070527","ENSMUSG00000070527","  Mkrn3",71,54,27,63,32,53,47,49,75,57,60
" ENSMUSG00000026988","ENSMUSG00000026988","  Wdsub1",510,499,271,394,363,359,304,497,652,518,429
